Car Name,City,Price (PKR),Model Year,Mileage (km),Fuel Type,Engine CC,Transmission
Suzuki Alto VXL AGS,Karachi,2675000.0,2022,57554.0,Petrol,660 cc,Automatic
Toyota Corolla Altis Automatic 1.6,Karachi,4470000.0,2018,65000.0,Petrol,1600 cc,Automatic
Suzuki Alto VXL AGS,Karachi,2820000.0,2022,31000.0,Petrol,660 cc,Automatic
Peugeot Allure,Karachi,5650000.0,2022,47033.0,Petrol,1200 cc,Automatic
Toyota Land Cruiser AX,Karachi,21600000.0,2012,90179.0,Petrol,4600 cc,Automatic
Toyota Crown Athlete,Karachi,14800000.0,2016,97831.0,Petrol,2500 cc,Automatic
Daihatsu Mira X SA lll,Karachi,3775000.0,2022,18000.0,Petrol,660 cc,Automatic
Nissan Kicks XV Premium,Karachi,6200000.0,2020,76500.0,Hybrid,1200 cc,Automatic
Daihatsu Mira X SA lll,Karachi,3650000.0,2022,44927.0,Petrol,660 cc,Automatic
KIA Sportage FWD,Karachi,6700000.0,2021,55785.0,Petrol,2000 cc,Automatic
Suzuki Cultus VXRi (CNG),Karachi,1050000.0,2009,80000.0,Petrol,1000 cc,Manual
Toyota Corolla GLi 1.3 VVTi,Karachi,2330000.0,2011,100000.0,Petrol,1300 cc,Manual
Honda City 1.3 i-VTEC Prosmatec,Karachi,3850000.0,2019,63730.0,Petrol,1300 cc,Automatic
Toyota Passo X,Karachi,2400000.0,2014,85485.0,Petrol,1000 cc,Automatic
Suzuki Alto VXR,Karachi,2395000.0,2022,42903.0,Petrol,660 cc,Manual
Toyota Vitz F 1.0,Karachi,3000000.0,2015,75000.0,Petrol,1000 cc,Automatic
Toyota Sienta,Karachi,4040000.0,2015,170000.0,Hybrid,1500 cc,Automatic
Nissan Leaf EV,Karachi,8000000.0,2024,4305.0,Electric,40.0 kWh,Automatic
Nissan Roox S Hybrid,Karachi,3700000.0,2021,23000.0,Hybrid,660 cc,Automatic
Daihatsu Hijet Cruise,Karachi,2975000.0,2020,95000.0,Petrol,660 cc,Automatic
Hyundai Elantra GLS,Karachi,6250000.0,2023,16503.0,Petrol,2000 cc,Automatic
Toyota C-HR S-LED,Karachi,7000000.0,2018,89000.0,Hybrid,1800 cc,Automatic
MG HS Trophy,Karachi,6700000.0,2023,37200.0,Petrol,1500 cc,Automatic
Toyota Raize Z,Karachi,5875000.0,2020,60589.0,Petrol,1000 cc,Automatic
Honda Civic 1.8 i-VTEC CVT,Karachi,4150000.0,2016,68000.0,Petrol,1800 cc,Automatic
Honda City 5th (GM2) Generation 1.3 i-VTEC Prosmatec,Karachi,3135000.0,2015,135564.0,Petrol,1300 cc,Automatic
Toyota Raize Z,Karachi,6445000.0,2020,11000.0,Petrol,1000 cc,Automatic
Toyota Raize Z,Karachi,6625000.0,2021,16500.0,Petrol,1000 cc,Automatic
Toyota Corolla GLi Automatic 1.3 VVTi,Karachi,5000000.0,2018,14743.0,Petrol,1300 cc,Automatic
KIA Picanto 1.0 AT,Karachi,2760000.0,2021,62000.0,Petrol,1000 cc,Automatic
Suzuki Mehran VXR Euro II,Karachi,900000.0,2016,90000.0,Petrol,796 cc,Manual
